db_table,columns,dashboards
reporting_data.elective_learning_notification_activity,[],{'Email Summary (Elective Learning)': 'https://tableau.everfiapps-dev.net/#/views/EmailActivityElectiveLearning/EmailSummaryElectiveLearning'}
adminifi_data.capabilities,[],{'Activity Snapshot': 'https://tableau.everfiapps-dev.net/#/views/ActivitySnapshot_0/ActivitySnapshot'}
rls_data.rls_sponsored_learning_k12_executive_user,[],"{'Impact Dashboard': 'https://tableau.everfiapps-dev.net/#/views/ImpactDashboard/ImpactDashboard', 'Report Builder': 'https://tableau.everfiapps-dev.net/#/views/ReportBuilder/ReportBuilder'}"
rls_data.rls_sponsored_learning_k12_executive_user,[],"{'Impact Dashboard': 'https://tableau.everfiapps-dev.net/#/views/ImpactDashboard/ImpactDashboard', 'Report Builder': 'https://tableau.everfiapps-dev.net/#/views/ReportBuilder/ReportBuilder'}"
reporting_data.volunteer_activity_table,"['account_id', 'age', 'employer_name', 'engage_account_id', 'engage_account_organization_uuid', 'engage_users_uid', 'event_attendee_business_name', 'event_attendee_business_zip', 'event_attendee_contact_followup', 'event_attendee_contact_methods', 'event_attendee_contact_phone', 'event_attendee_contact_promotional', 'event_attendee_home_phone', 'event_attendee_is_lmi', 'event_attendee_lmi_qualification', 'event_duration', 'event_end_time', 'event_end_time_local', 'event_id', 'event_isdemo', 'event_manual_attendee_count', 'event_partner_name', 'event_partner_serves_lmi', 'event_role', 'event_setup_duration', 'event_start_time_local', 'event_time_zone', 'event_time_zone_abbreviation', 'event_title', 'event_topic', 'event_user_business_email', 'event_user_contact_email', 'event_user_isemployee', 'event_user_media_consent', 'event_user_notes', 'event_user_sign_in_count', 'event_user_title', 'event_users_checked_in', 'event_venue_census_tract', 'event_venue_census_tract_med_family_income', 'event_venue_formatted_address', 'event_venue_location_area', 'event_venue_postal_code', 'event_venue_title', 'events_start_time', 'evidence_capture_duration', 'first_name', 'gender', 'home_zip', 'income_level', 'last_name', 'other_duration', 'preparation_duration', 'user_work_location_formatted_address', 'user_work_location_name', 'work_location_islmi', 'work_location_name']","{'Attendees Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/AttendeesDetail', 'Facilitators Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/FacilitatorsDetail', 'Engage Dashboard': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/EngageDashboard'}"
reporting_data.volunteer_activity_table,"['account_id', 'age', 'employer_name', 'engage_account_id', 'engage_account_organization_uuid', 'engage_users_uid', 'event_attendee_business_name', 'event_attendee_business_zip', 'event_attendee_contact_followup', 'event_attendee_contact_methods', 'event_attendee_contact_phone', 'event_attendee_contact_promotional', 'event_attendee_home_phone', 'event_attendee_is_lmi', 'event_attendee_lmi_qualification', 'event_duration', 'event_end_time', 'event_end_time_local', 'event_id', 'event_isdemo', 'event_manual_attendee_count', 'event_partner_name', 'event_partner_serves_lmi', 'event_role', 'event_setup_duration', 'event_start_time_local', 'event_time_zone', 'event_time_zone_abbreviation', 'event_title', 'event_topic', 'event_user_business_email', 'event_user_contact_email', 'event_user_isemployee', 'event_user_media_consent', 'event_user_notes', 'event_user_sign_in_count', 'event_user_title', 'event_users_checked_in', 'event_venue_census_tract', 'event_venue_census_tract_med_family_income', 'event_venue_formatted_address', 'event_venue_location_area', 'event_venue_postal_code', 'event_venue_title', 'events_start_time', 'evidence_capture_duration', 'first_name', 'gender', 'home_zip', 'income_level', 'last_name', 'other_duration', 'preparation_duration', 'user_work_location_formatted_address', 'user_work_location_name', 'work_location_islmi', 'work_location_name']","{'Attendees Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/AttendeesDetail', 'Facilitators Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/FacilitatorsDetail', 'Engage Dashboard': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/EngageDashboard'}"
reporting_data.volunteer_activity_table,"['account_id', 'age', 'employer_name', 'engage_account_id', 'engage_account_organization_uuid', 'engage_users_uid', 'event_attendee_business_name', 'event_attendee_business_zip', 'event_attendee_contact_followup', 'event_attendee_contact_methods', 'event_attendee_contact_phone', 'event_attendee_contact_promotional', 'event_attendee_home_phone', 'event_attendee_is_lmi', 'event_attendee_lmi_qualification', 'event_duration', 'event_end_time', 'event_end_time_local', 'event_id', 'event_isdemo', 'event_manual_attendee_count', 'event_partner_name', 'event_partner_serves_lmi', 'event_role', 'event_setup_duration', 'event_start_time_local', 'event_time_zone', 'event_time_zone_abbreviation', 'event_title', 'event_topic', 'event_user_business_email', 'event_user_contact_email', 'event_user_isemployee', 'event_user_media_consent', 'event_user_notes', 'event_user_sign_in_count', 'event_user_title', 'event_users_checked_in', 'event_venue_census_tract', 'event_venue_census_tract_med_family_income', 'event_venue_formatted_address', 'event_venue_location_area', 'event_venue_postal_code', 'event_venue_title', 'events_start_time', 'evidence_capture_duration', 'first_name', 'gender', 'home_zip', 'income_level', 'last_name', 'other_duration', 'preparation_duration', 'user_work_location_formatted_address', 'user_work_location_name', 'work_location_islmi', 'work_location_name']","{'Attendees Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/AttendeesDetail', 'Facilitators Detail': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/FacilitatorsDetail', 'Engage Dashboard': 'https://tableau.everfiapps-dev.net/#/views/EngageDashboard_0/EngageDashboard'}"
ods.fact_elective_learning_knowledge_gain,"['content_group_avg_post_assessment_score', 'content_group_avg_pre_assessment_score', 'content_group_name', 'date_key', 'first_assesment_key', 'items_in_content_group', 'knowledge_gain', 'last_assesment_key', 'organization_key', 'post_evaluations_completed', 'pre_evaluations_completed', 'program_key', 'sourcesystem_id', 'user_partner_key']","{'Knowledge Gain': 'https://tableau.everfiapps-dev.net/#/views/LearnerResponseAnalysisKnowledgeGain/KnowledgeGain', 'Overview': 'https://tableau.everfiapps-dev.net/#/views/LearnerResponseAnalysisKnowledgeGain/Overview'}"
ods.fact_elective_learning_knowledge_gain,"['content_group_avg_post_assessment_score', 'content_group_avg_pre_assessment_score', 'content_group_name', 'date_key', 'first_assesment_key', 'items_in_content_group', 'knowledge_gain', 'last_assesment_key', 'organization_key', 'post_evaluations_completed', 'pre_evaluations_completed', 'program_key', 'sourcesystem_id', 'user_partner_key']","{'Knowledge Gain': 'https://tableau.everfiapps-dev.net/#/views/LearnerResponseAnalysisKnowledgeGain/KnowledgeGain', 'Overview': 'https://tableau.everfiapps-dev.net/#/views/LearnerResponseAnalysisKnowledgeGain/Overview'}"
team_rls,[],{'Course Progress': 'https://tableau.everfiapps-dev.net/#/views/UserReport_15844745168020/CourseProgress'}
